"Year","SoilType","Population","PlotRow","PlotColumn","Edge","Plot_Rep","Surv_flr","Num_flrs","Num_frts","Numfruits_collected","Num_seeds"
"2015","Sand","SandPop","A",1,"Edge",1,1,6,6,NA,NA
"2015","Sand","SandPop","A",2,"Edge",1,1,6,4,NA,NA
"2015","Sand","SerpPop","A",3,"Edge",1,0,0,0,NA,NA
"2015","Sand","SerpPop","A",4,"Edge",1,1,3,2,1,2
"2015","Sand","SandPop","A",5,"Edge",1,1,NA,NA,NA,NA
"2015","Sand","SerpPop","A",6,"Edge",1,1,4,3,2,9
"2015","Sand","SandPop","A",7,"Edge",1,1,6,4,2,4
"2015","Sand","SerpPop","A",8,"Edge",1,1,1,1,NA,NA
"2015","Sand","SandPop","A",9,"Edge",1,1,2,2,NA,NA
"2015","Sand","SandPop","A",10,"Edge",1,1,NA,NA,NA,NA
"2015","Sand","SerpPop","A",11,"Edge",1,1,4,3,NA,NA
"2015","Sand","SerpPop","A",12,"Edge",1,1,4,3,1,5
"2015","Sand","SandPop","B",1,"Edge",1,1,5,4,NA,NA
"2015","Sand","SandPop","B",2,"Non-edge",1,1,3,0,NA,NA
"2015","Sand","SerpPop","B",3,"Non-edge",1,1,5,5,NA,NA
"2015","Sand","SandPop","B",4,"Non-edge",1,1,5,2,NA,NA
"2015","Sand","SerpPop","B",5,"Non-edge",1,1,2,2,2,12
"2015","Sand","SandPop","B",6,"Non-edge",1,1,7,1,NA,NA
"2015","Sand","SerpPop","B",7,"Non-edge",1,1,1,0,NA,NA
"2015","Sand","SerpPop","B",8,"Non-edge",1,1,11,8,6,37
"2015","Sand","SerpPop","B",9,"Non-edge",1,1,1,1,NA,NA
"2015","Sand","SandPop","B",10,"Non-edge",1,1,NA,NA,NA,NA
"2015","Sand","SandPop","B",11,"Non-edge",1,1,3,1,NA,NA
"2015","Sand","SandPop","B",12,"Edge",1,NA,NA,NA,NA,NA
"2015","Sand","SerpPop","C",1,"Edge",1,1,6,5,3,15
"2015","Sand","SandPop","C",2,"Non-edge",1,1,3,3,NA,NA
"2015","Sand","SerpPop","C",3,"Non-edge",1,NA,NA,NA,NA,NA
"2015","Sand","SandPop","C",4,"Non-edge",1,1,9,9,NA,NA
"2015","Sand","SerpPop","C",5,"Non-edge",1,1,NA,NA,NA,NA
"2015","Sand","SerpPop","C",6,"Non-edge",1,0,0,NA,NA,NA
"2015","Sand","SerpPop","C",7,"Non-edge",1,1,3,3,NA,NA
"2015","Sand","SerpPop","C",8,"Non-edge",1,0,0,NA,NA,NA
"2015","Sand","SandPop","C",9,"Non-edge",1,1,NA,NA,NA,NA
"2015","Sand","SandPop","C",10,"Non-edge",1,1,5,4,NA,NA
"2015","Sand","SandPop","C",11,"Non-edge",1,1,3,1,NA,NA
"2015","Sand","SandPop","C",12,"Edge",1,1,3,3,NA,NA
"2015","Sand","SerpPop","D",1,"Edge",1,NA,NA,NA,NA,NA
"2015","Sand","SerpPop","D",2,"Non-edge",1,NA,NA,NA,NA,NA
"2015","Sand","SandPop","D",3,"Non-edge",1,0,0,0,NA,NA
"2015","Sand","SerpPop","D",4,"Non-edge",1,1,1,1,NA,NA
"2015","Sand","SerpPop","D",5,"Non-edge",1,1,1,1,NA,NA
"2015","Sand","SandPop","D",6,"Non-edge",1,0,0,0,NA,NA
"2015","Sand","SandPop","D",7,"Non-edge",1,1,4,4,1,1
"2015","Sand","SandPop","D",8,"Non-edge",1,1,6,5,NA,NA
"2015","Sand","SerpPop","D",9,"Non-edge",1,1,3,2,NA,NA
"2015","Sand","SandPop","D",10,"Non-edge",1,1,NA,NA,NA,NA
"2015","Sand","SandPop","D",11,"Non-edge",1,1,3,3,NA,NA
"2015","Sand","SerpPop","D",12,"Edge",1,1,1,1,NA,NA
"2015","Sand","SandPop","E",1,"Edge",1,NA,NA,NA,NA,NA
"2015","Sand","SandPop","E",2,"Non-edge",1,NA,NA,NA,NA,NA
"2015","Sand","SandPop","E",3,"Non-edge",1,1,2,2,NA,NA
"2015","Sand","SandPop","E",4,"Non-edge",1,1,2,0,NA,NA
"2015","Sand","SerpPop","E",5,"Non-edge",1,1,3,3,2,11
"2015","Sand","SerpPop","E",6,"Non-edge",1,1,3,3,1,3
"2015","Sand","SerpPop","E",7,"Non-edge",1,1,1,1,NA,NA
"2015","Sand","SandPop","E",8,"Non-edge",1,1,2,1,NA,NA
"2015","Sand","SerpPop","E",9,"Non-edge",1,0,0,0,NA,NA
"2015","Sand","SerpPop","E",10,"Non-edge",1,1,2,0,NA,NA
"2015","Sand","SandPop","E",11,"Non-edge",1,1,4,1,NA,NA
"2015","Sand","SerpPop","E",12,"Edge",1,1,3,1,NA,NA
"2015","Sand","SandPop","F",1,"Edge",1,1,4,4,3,10
"2015","Sand","SerpPop","F",2,"Edge",1,1,3,3,3,16
"2015","Sand","SerpPop","F",3,"Edge",1,1,4,3,NA,NA
"2015","Sand","SerpPop","F",4,"Edge",1,1,3,3,1,4
"2015","Sand","SerpPop","F",5,"Edge",1,1,NA,NA,NA,NA
"2015","Sand","SandPop","F",6,"Edge",1,1,13,12,NA,NA
"2015","Sand","SandPop","F",7,"Edge",1,1,7,4,2,4
"2015","Sand","SandPop","F",8,"Edge",1,1,3,2,NA,NA
"2015","Sand","SerpPop","F",9,"Edge",1,1,4,3,2,12
"2015","Sand","SerpPop","F",10,"Edge",1,1,1,0,NA,NA
"2015","Sand","SandPop","F",11,"Edge",1,0,0,0,NA,NA
"2015","Sand","SerpPop","F",12,"Edge",1,0,0,0,NA,NA
"2015","Sand","SandPop","A",1,"Edge",2,1,5,5,5,23
